全部,#genre#
CCTV1HD,http://1.203.110.68:8686/udp/225.1.8.1:8008
CCTV2HD,http://1.203.110.68:8686/udp/225.1.8.2:8084
CCTV3HD,http://1.203.110.68:8686/udp/225.1.8.88:8000
CCTV4HD,http://1.203.110.68:8686/udp/225.1.8.4:8092
CCTV5HD,http://1.203.110.68:8686/udp/225.1.8.89:8000
CCTV5⁺HD,http://1.203.110.68:8686/udp/225.1.8.20:8004
CCTV6HD,http://1.203.110.68:8686/udp/225.1.8.84:8000
CCTV7HD,http://1.203.110.68:8686/udp/225.1.8.7:8104
CCTV8HD,http://1.203.110.68:8686/udp/225.1.8.85:8000
CCTV9HD,http://1.203.110.68:8686/udp/225.1.8.9:8112
CCTV10HD,http://1.203.110.68:8686/udp/225.1.8.10:8116
CCTV11HD,http://1.203.110.68:8686/udp/225.1.8.73:8120
CCTV12HD,http://1.203.110.68:8686/udp/225.1.8.12:8124
CCTV13HD,http://1.203.110.68:8686/udp/225.1.8.168:8130
CCTV14HD,http://1.203.110.68:8686/udp/225.1.8.14:8132
CCTV15HD,http://1.203.110.68:8686/udp/225.1.8.74:8136
CCTV17HD,http://1.203.110.68:8686/udp/225.1.8.17:8144
CETV1,http://1.203.110.68:8686/udp/225.1.8.32:8152
北京卫视,http://1.203.110.68:8686/udp/225.1.8.21:8002
北京文艺,http://1.203.110.68:8686/udp/225.1.8.22:8002
北京科教,http://1.203.110.68:8686/udp/225.1.8.105:8002
北京影视,http://1.203.110.68:8686/udp/225.1.8.82:8000
北京财经,http://1.203.110.68:8686/udp/225.1.8.106:8002
北京冬奥纪实,http://1.203.110.68:8686/udp/225.1.8.23:8002
北京生活,http://1.203.110.68:8686/udp/225.1.8.108:8002
北京青年,http://1.203.110.68:8686/udp/225.1.8.118:8002
北京新闻,http://1.203.110.68:8686/udp/225.1.8.83:8000
北京卡酷少儿,http://1.203.110.68:8686/udp/225.1.8.35:8000
北京冬奥纪实 4K,http://1.203.110.68:8686/udp/225.1.8.120:8002
北京冬奥纪实 4K,http://1.203.110.68:8686/udp/225.1.8.164:8002
CCTV4,http://1.203.110.68:8686/udp/225.1.8.104:8216
CCTV6,http://1.203.110.68:8686/udp/225.1.8.90:8000
CCTV8,http://1.203.110.68:8686/udp/225.1.8.91:8000
CCTV9,http://1.203.110.68:8686/udp/225.1.8.109:8032
CCTV10,http://1.203.110.68:8686/udp/225.1.8.110:8228
CCTV11,http://1.203.110.68:8686/udp/225.1.8.111:8040
CCTV12,http://1.203.110.68:8686/udp/225.1.8.112:8232
CCTV13,http://1.203.110.68:8686/udp/225.1.8.113:8264
CCTV14,http://1.203.110.68:8686/udp/225.1.8.114:8236
CCTV15,http://1.203.110.68:8686/udp/225.1.8.115:8052
CCTV17,http://1.203.110.68:8686/udp/225.1.8.117:8064
CGTN,http://1.203.110.68:8686/udp/225.1.8.116:8056
CETV1,http://1.203.110.68:8686/udp/225.1.8.169:4120
CETV2,http://1.203.110.68:8686/udp/225.1.8.193:4120
CETV3,http://1.203.110.68:8686/udp/225.1.8.194:4120
CETV4,http://1.203.110.68:8686/udp/225.1.8.195:4120
北京北京卫视,http://1.203.110.68:8686/udp/225.1.8.121:8002
北京文艺,http://1.203.110.68:8686/udp/225.1.8.122:8002
北京科教,http://1.203.110.68:8686/udp/225.1.8.123:8002
