全部,#genre#
CCTV1,http://27.46.95.202:808/hls/1/index.m3u8
CCTV2,http://27.46.95.202:808/hls/2/index.m3u8
CCTV3,http://27.46.95.202:808/hls/3/index.m3u8
CCTV4,http://27.46.95.202:808/hls/4/index.m3u8
CCVT5,http://27.46.95.202:808/hls/5/index.m3u8
CCTV6,http://27.46.95.202:808/hls/6/index.m3u8
CCTV7,http://27.46.95.202:808/hls/7/index.m3u8
CCTV8,http://27.46.95.202:808/hls/8/index.m3u8
CCTV9,http://27.46.95.202:808/hls/9/index.m3u8
CCTV10,http://27.46.95.202:808/hls/10/index.m3u8
CCTV11,http://27.46.95.202:808/hls/11/index.m3u8
CCTV12,http://27.46.95.202:808/hls/12/index.m3u8
CCTV13,http://27.46.95.202:808/hls/13/index.m3u8
CCTV14,http://27.46.95.202:808/hls/14/index.m3u8
CCTV15,http://27.46.95.202:808/hls/15/index.m3u8
CCTV5+,http://27.46.95.202:808/hls/16/index.m3u8
IPTV6+,http://27.46.95.202:808/hls/17/index.m3u8
IPTV8+,http://27.46.95.202:808/hls/18/index.m3u8
广东卫视,http://27.46.95.202:808/hls/19/index.m3u8
广东珠江,http://27.46.95.202:808/hls/20/index.m3u8
广东新闻,http://27.46.95.202:808/hls/21/index.m3u8
广东公共,http://27.46.95.202:808/hls/22/index.m3u8
广东影视,http://27.46.95.202:808/hls/26/index.m3u8
广东少儿,http://27.46.95.202:808/hls/27/index.m3u8
广东体育,http://27.46.95.202:808/hls/28/index.m3u8
湖南卫视,http://27.46.95.202:808/hls/30/index.m3u8
浙江卫视,http://27.46.95.202:808/hls/31/index.m3u8
江苏卫视,http://27.46.95.202:808/hls/32/index.m3u8
深圳卫视,http://27.46.95.202:808/hls/33/index.m3u8
东方卫视,http://27.46.95.202:808/hls/34/index.m3u8
安徽卫视,http://27.46.95.202:808/hls/35/index.m3u8
北京卫视,http://27.46.95.202:808/hls/36/index.m3u8
天津卫视,http://27.46.95.202:808/hls/37/index.m3u8
山东卫视,http://27.46.95.202:808/hls/38/index.m3u8
江西卫视,http://27.46.95.202:808/hls/39/index.m3u8
湖北卫视,http://27.46.95.202:808/hls/40/index.m3u8
黑龙江卫视,http://27.46.95.202:808/hls/42/index.m3u8
贵州卫视,http://27.46.95.202:808/hls/43/index.m3u8
四川卫视,http://27.46.95.202:808/hls/44/index.m3u8
河南卫视,http://27.46.95.202:808/hls/45/index.m3u8
云南卫视,http://27.46.95.202:808/hls/46/index.m3u8
重庆卫视,http://27.46.95.202:808/hls/47/index.m3u8
河北卫视,http://27.46.95.202:808/hls/48/index.m3u8
东南卫视,http://27.46.95.202:808/hls/49/index.m3u8
CCTV-1综合,http://183.15.207.150:808/hls/1/index.m3u8
CCTV-2财经,http://183.15.207.150:808/hls/2/index.m3u8
CCTV-3综艺,http://183.15.207.150:808/hls/3/index.m3u8
CCTV-4中文国际,http://183.15.207.150:808/hls/4/index.m3u8
CCTV-5体育,http://183.15.207.150:808/hls/5/index.m3u8
CCTV-6电影,http://183.15.207.150:808/hls/6/index.m3u8
CCTV-7国防军事,http://183.15.207.150:808/hls/7/index.m3u8
CCTV-8电视剧,http://183.15.207.150:808/hls/8/index.m3u8
CCTV-9纪录,http://183.15.207.150:808/hls/9/index.m3u8
CCTV-10科教,http://183.15.207.150:808/hls/10/index.m3u8
CCTV-11戏曲,http://183.15.207.150:808/hls/11/index.m3u8
CCTV-12社会与法,http://183.15.207.150:808/hls/12/index.m3u8
